change_type,description
Ingredient Change,Change involving an active ingredient excipient preservative fragrance or functional ingredient
Claim Update,Change involving product claims benefit statements or marketing wording
Label Artwork Change,Change involving label artwork packaging text symbols warnings or instructions
Packaging Supplier Change,Change involving supplier of primary or secondary packaging
Manufacturing Site Change,Change involving production site transfer or manufacturing location
Process Change,Change involving manufacturing process parameters equipment or workflow
Raw Material Supplier Change,Change involving supplier of raw materials ingredients or excipients
Specification Change,Change involving quality specifications acceptance criteria or analytical parameters
Stability Related Change,Change potentially affecting product stability shelf life or storage conditions
Market Expansion,Change involving launch or distribution in a new market
